step,timestamp,hour,price,action,act_type,soc_before,new_soc,grid_mwh,cash,spread,degradation,is_spike
2738,2025-10-10 15:20:00,15,19.28,0.7851579189300537,charge,0.3365972936153412,0.35228681564331055,-1.6357456644376118,-31.53717641035716,8.064226125677425,1.6357456644376118,False
2739,2025-10-10 15:25:00,15,19.05,0.7931280136108398,charge,0.35228681564331055,0.36813560128211975,-1.6523500283559163,-31.477268040180206,8.526126146316528,1.6523500283559163,False
2740,2025-10-10 15:30:00,15,18.78,0.8063777089118958,charge,0.36813560128211975,0.38424915075302124,-1.6799535602331161,-31.549527861177925,9.12214783206582,1.6799535602331161,False
2741,2025-10-10 15:35:00,15,19.38,0.7982853055000305,charge,0.38424915075302124,0.4002009928226471,-1.663094386458397,-32.23076920956373,8.03274588659406,1.663094386458397,False
2742,2025-10-10 15:40:00,15,19.66,0.7898722887039185,charge,0.4002009928226471,0.41598471999168396,-1.6455672681331635,-32.35185249149799,7.487331070005895,1.6455672681331635,False
2743,2025-10-10 15:45:00,15,19.61,0.7958230376243591,charge,0.41598471999168396,0.43188735842704773,-1.6579646617174149,-32.512687016278505,7.626637443900111,1.6579646617174149,False
2744,2025-10-10 15:50:00,15,19.52,0.7894278764724731,charge,0.43188735842704773,0.44766220450401306,-1.6446414093176522,-32.10340030988057,7.713368209699791,1.6446414093176522,False
2745,2025-10-10 15:55:00,15,19.26,0.7826269865036011,charge,0.44766220450401306,0.4633011519908905,-1.6304728885491688,-31.402907833456993,8.070840798318384,1.6304728885491688,False
2746,2025-10-10 16:00:00,16,17.11,0.7893025875091553,charge,0.4633011519908905,0.47907349467277527,-1.6443803906440735,-28.135348483920097,11.675100773572924,1.6443803906440735,False
2747,2025-10-10 16:05:00,16,17.12,0.7942852973937988,charge,0.47907349467277527,0.4949454069137573,-1.6547610362370808,-28.329508940378826,11.732255746920902,1.6547610362370808,False
2748,2025-10-10 16:10:00,16,16.99,0.7750953435897827,charge,0.4949454069137573,0.5104338526725769,-1.6147819658120472,-27.43514559914668,11.658725793162985,1.6147819658120472,False
2749,2025-10-10 16:15:00,16,16.71,0.7928849458694458,charge,0.5104338526725769,0.5262777805328369,-1.651843637228012,-27.602307178080082,12.38882727921009,1.651843637228012,False
2750,2025-10-10 16:20:00,16,16.69,0.7737829685211182,charge,0.5262777805328369,0.5417400002479553,-1.6120478510856628,-26.905078634619716,12.122599840164185,1.6120478510856628,False
2751,2025-10-10 16:25:00,16,16.82,0.7652699947357178,charge,0.5417400002479553,0.5570321083068848,-1.5943124890327454,-26.816336065530777,11.78196929395199,1.5943124890327454,False
2752,2025-10-10 16:30:00,16,17.95,0.7579441666603088,charge,0.5570321083068848,0.5721778273582458,-1.5790503472089767,-28.343953732401133,9.884855173528196,1.5790503472089767,False
2753,2025-10-10 16:35:00,16,18.55,0.7510448694229126,charge,0.5721778273582458,0.5871856808662415,-1.5646768112977345,-29.024754849572975,8.856070751945177,1.5646768112977345,False
2754,2025-10-10 16:40:00,16,18.3,0.7496817111968994,charge,0.5871856808662415,0.6021662950515747,-1.5618368983268738,-28.58161523938179,9.230456069111824,1.5618368983268738,False
2755,2025-10-10 16:45:00,16,18.8,0.7367094159126282,charge,0.6021662950515747,0.6168876886367798,-1.5348112831513085,-28.854452123244602,8.30332904184858,1.5348112831513085,False
2756,2025-10-10 16:50:00,16,19.35,0.7362471222877502,charge,0.6168876886367798,0.6315998435020447,-1.533848171432813,-29.67996211722493,7.45450211316347,1.533848171432813,False
2757,2025-10-10 16:55:00,16,20.66,0.7329928278923035,charge,0.6315998435020447,0.6462469696998596,-1.527068391442299,-31.549232967197895,5.421092789620162,1.527068391442299,False
2758,2025-10-10 17:00:00,17,20.11,0.698344349861145,charge,0.6462469696998596,0.6602017283439636,-1.4548840622107186,-29.257718491057553,5.9650246550639485,1.4548840622107186,False
2759,2025-10-10 17:05:00,17,20.16,0.6769068241119385,charge,0.6602017283439636,0.6737281084060669,-1.410222550233205,-28.430086612701416,5.711401328444482,1.410222550233205,False
